Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1989,EU27,2.50849293300628,
1990,EU27,2.52390036700856,2.87050253138711
1991,EU27,2.47350614372479,2.78666133297859
1992,EU27,2.38464664820378,2.98320528687407
1993,EU27,2.33393739344643,2.77748770600627
1994,EU27,2.31641659596319,2.69885958740392
1995,EU27,2.34217214687214,2.73208119678425
1996,EU27,2.39347947143766,2.69984594920329
1997,EU27,2.34771917176661,2.64113427243403
1998,EU27,2.33873475018812,2.6717524975713
1999,EU27,2.30062534715128,2.66885817947946
2000,EU27,2.30394713246853,2.69577522498819
2001,EU27,2.33593164963181,2.69296331982418
2002,EU27,2.33113882477299,2.67379762740576
2003,EU27,2.37744004444133,2.76782369183001
2004,EU27,2.37623512103805,2.79809788878646
2005,EU27,2.35616150532815,2.84545621728438
2006,EU27,2.35454255536043,2.89554277900787
2007,EU27,2.32259085085362,2.88756779776469
2008,EU27,2.26096839476207,2.85479060443082
2009,EU27,2.07130410957703,2.57283992516812
2010,EU27,2.12900020375605,2.6677546203178
2011,EU27,2.06240230571433,2.57691421923352
2012,EU27,2.01437356315165,2.40477249034532
2013,EU27,1.9631237682803,2.32757193318881
2014,EU27,1.87693227576743,2.25148090551646
2015,EU27,1.90667979722809,2.21877677039322
2016,EU27,1.90785560082412,2.22645882504488
2017,EU27,1.91881682650981,2.24842426807423
2018,EU27,1.87107003361616,2.26352912605229
2019,EU27,1.78106197439544,2.16286449407482
2020,EU27,1.6119517912793,1.96659021298774
2021,EU27,1.72062158687592,2.14520814701038
2022,EU27,1.68521550554197,
1950,CHN,0.0395533129206673,
1951,CHN,0.0503417058188323,
1952,CHN,0.0618356213280045,
1953,CHN,0.0632389051448786,
1954,CHN,0.0744277170192174,
1955,CHN,0.0861867710835023,
1956,CHN,0.0955793422252782,
1957,CHN,0.11080947768488,
1958,CHN,0.222403516994337,
1959,CHN,0.301371027775306,
1960,CHN,0.333266350009317,
1961,CHN,0.237676020940781,
1962,CHN,0.188743377989111,
1963,CHN,0.182287223148675,
1964,CHN,0.178428671861834,
1965,CHN,0.188632626776345,
1966,CHN,0.201846555780751,
1967,CHN,0.165054495370279,
1968,CHN,0.173297498914177,
1969,CHN,0.206945391350769,
1970,CHN,0.26808735858006,
1971,CHN,0.294261877641637,
1972,CHN,0.306393092588451,
1973,CHN,0.312128818187775,
1974,CHN,0.311991369746,
1975,CHN,0.352880716411277,
1976,CHN,0.360157774243603,
1977,CHN,0.388239554326089,
1978,CHN,0.426553159857296,
1979,CHN,0.430024453281421,
1980,CHN,0.415205479979703,
1981,CHN,0.404078953534852,
1982,CHN,0.432645017933799,
1983,CHN,0.449264797409143,
1984,CHN,0.482201208320947,
1985,CHN,0.514344218605296,
1986,CHN,0.532853724770626,
1987,CHN,0.561785094459138,
1988,CHN,0.593328167857101,
1989,CHN,0.59272392828594,
1990,CHN,0.587829072727576,0.548912018254695
1991,CHN,0.607598573907871,0.559520052700062
1992,CHN,0.629577512851732,0.593890014748075
1993,CHN,0.666797770497781,0.629245629765369
1994,CHN,0.701647978193244,0.6216999327618
1995,CHN,0.753176217570523,0.670796539989755
1996,CHN,0.779653001426835,0.694438825535659
1997,CHN,0.775161673265889,0.674388975100298
1998,CHN,0.736490254505013,0.647879102923503
1999,CHN,0.773336136900151,0.689667808369573
2000,CHN,0.787882035370841,0.704396975967712
2001,CHN,0.799540931630664,0.720121221879615
2002,CHN,0.874231576736807,0.77772735854626
2003,CHN,1.02513253181678,0.863486527209862
2004,CHN,1.09803448851424,0.908252157027743
2005,CHN,1.23028863297703,0.986755269566014
2006,CHN,1.34985173112579,1.06740668968069
2007,CHN,1.44228448026319,1.14526938728985
2008,CHN,1.5391689861311,1.22474049487869
2009,CHN,1.60827452235538,1.3698798870115
2010,CHN,1.74514628100776,1.48525050045133
2011,CHN,1.91706483593634,1.63661641988905
2012,CHN,1.95310572793989,1.69724717839332
2013,CHN,1.97467551987018,1.73044216921429
2014,CHN,1.97005205163518,1.73694044173946
2015,CHN,1.93220592281511,1.73660603428436
2016,CHN,1.90109691576144,1.72588079338602
2017,CHN,1.93742310311911,1.76931371194812
2018,CHN,1.99415451885824,1.85191720181692
2019,CHN,2.0578961868323,1.9065863266994
