Year,Country,Population,Deforestation,Harvest,PerCap-Territorial,PerCap-Consumption,Total-Territorial,Total-Consumption,Population-Increase,Deforestation-Increase,Harvest-Increase,PerCap-Territorial-Increase,Total-Territorial-Increase
1980,AFG,12486.631,0.4470333333333333,0.1150233333333333,0.0383882730168444,,479.3401998885928,,66.92328186725389,-56.74512814227568,153.7279411764707,1148.530344173305,1984.087825602601
1981,AFG,11155.195,0.42501,0.1146766666666666,0.0484055582667638,,539.9734415496122,,49.124432304372675,-58.876102255794315,152.96323529411765,1474.3299599902534,2247.7106154331227
1982,AFG,10088.289,0.3931966666666666,0.1142099999999999,0.0566661987176784,,571.6649891953691,,34.86186212320337,-61.95435516020205,151.93382352941168,1742.9969109819478,2385.4999530233717
1983,AFG,9951.449,0.38014,0.1037166666666666,0.0691115744137898,,687.7603080885342,,33.03256310005494,-63.21771608083964,128.78676470588235,2147.767117612862,2890.262209080617
1984,AFG,10243.686,0.3566433333333333,0.0991133333333333,0.0751751748327157,,770.0708859814421,,36.93923409265818,-65.49124968553053,118.63235294117655,2344.978102192685,3248.134286875873
1985,AFG,10512.221,0.3453299999999999,0.0901033333333333,0.0909064036899595,,955.6282059040698,,40.52905295542613,-66.58592595937378,98.75735294117653,2856.6165541435034,4054.90524306122
1986,AFG,10448.442,0.3281333333333333,0.0892566666666666,0.0818545412357849,,855.2524265387067,,39.67644507470862,-68.24987259954976,96.88970588235291,2562.2161016834243,3618.488811037897
1987,AFG,10322.758,0.3204766666666667,0.0806966666666666,0.0823271614797413,,849.8433647822914,,37.99628124523341,-68.99073040774594,78.00735294117645,2577.587481260495,3594.9711512273952
1988,AFG,10383.46,0.3128733333333333,0.0736433333333333,0.0750925513023057,,779.7205027454391,,38.80775529743419,-69.72642769137484,62.44852941176474,2342.290875684362,3290.0891423715125
1989,AFG,10673.168,0.28907,0.0783799999999999,0.0707006740614014,,754.6001719705795,,42.680618213235775,-72.02963431232786,72.8970588235293,2199.450586913177,3180.8703129155997
1990,AFG,10694.796,0.2860433333333333,0.0773233333333333,0.0516597717734885,,552.4907205240178,,42.969744779098505,-72.32249408152339,70.56617647058829,1580.1691653064604,2302.1335674957563
1991,AFG,10745.167,0.27412,0.0838666666666666,0.0486229850657341,,522.4620945698189,,43.64311236967881,-73.4761938551054,84.99999999999999,1481.4014934252627,2171.5743242166295
1992,AFG,12057.433,0.26296,0.0898933333333333,0.0335470012998635,,404.4907205240171,,61.18569430413447,-74.55603362081756,98.29411764705888,991.0740647416567,1658.655306626181
1993,AFG,14003.76,0.2594933333333333,0.0930633333333333,0.0289797207739316,,405.8250545851524,,87.20450517688683,-74.8914677176935,105.28676470588243,842.5290045229895,1664.4567590658999
1994,AFG,15455.555,0.2503366666666666,0.0995766666666666,0.0256727995948992,,396.7873661429423,,106.61233311690282,-75.77746527934566,119.6544117647059,734.9755483933105,1625.162461491073
1995,AFG,16418.912,0.2433166666666666,0.1061766666666666,0.023559725186733,,386.8250545851527,,119.49064369161206,-76.45671932551946,134.21323529411765,666.2504583916344,1581.8480634137265
1996,AFG,17106.595,0.2417566666666666,0.1282333333333333,0.0218592116796304,,373.936681222707,,128.68370010885695,-76.60766466911363,182.86764705882365,610.943393305311,1525.811657490049
1997,AFG,17788.819,0.2557433333333334,0.1486633333333333,0.0200090113471112,,355.9366812227073,,137.8037797403128,-75.25431710133334,227.93382352941188,550.767952307063,1447.5507879248319
1998,AFG,18493.132,0.2500266666666667,0.1567833333333333,0.0188684470117181,,348.9366812227084,,147.21914865942088,-75.80746082839322,245.84558823529426,513.6725304422843,1417.1160053161407
1999,AFG,19262.847,0.2362166666666666,0.15968,0.0154669079405919,,297.93668122270685,,157.50882198303023,-77.14371415854423,252.23529411764724,403.0417462616927,1195.3768748813488
2000,AFG,19542.982,0.2248333333333333,0.16669,0.0146235722678856,,285.7882096069875,,161.25371150253974,-78.24516362088207,267.698529411765,375.6133131765262,1142.5574330738727
2001,AFG,19688.632,0.2175933333333333,0.1689933333333333,0.0148199422207845,,291.7843886462888,,163.20078401585144,-78.94570483089606,272.779411764706,381.99999915144815,1168.6277767230092
2002,AFG,21000.256,0.23765,0.1670466666666666,0.0174279884857894,,365.9922197666298,,180.73478359154603,-77.00502506079742,268.48529411764713,466.82342685390495,1491.2705207244953
2003,AFG,22645.13,0.2261866666666666,0.1647833333333333,0.0187967877110398,,425.6557012988987,,202.72372250854596,-78.11421530998628,263.4926470588237,511.3419017291916,1750.6769621691458
2004,AFG,23553.551,0.2096433333333333,0.1397966666666666,0.0143365466620907,,337.67658296943307,,214.867639841983,-79.71494552421254,208.37500000000006,366.2781660019603,1368.159056388856
2005,AFG,24411.191,0.1976066666666666,0.1344966666666666,0.0211253577066927,,515.6951419213974,,226.33270863921356,-80.8796114125001,196.6838235294118,587.0757149389824,2142.152790962623
2006,AFG,25442.944,0.1941066666666666,0.1229699999999999,0.0231629458868601,,589.3335350744119,,240.12534788965544,-81.2182708372306,171.25735294117646,653.3457102250841,2462.319717714863
2007,AFG,25903.301,0.1844033333333333,0.1258633333333333,0.0295007691681245,,764.1673034934485,,246.27947395220696,-82.15716377569781,177.63970588235304,859.4754488354793,3222.466536928074
2008,AFG,26427.199,0.1777766666666666,0.1228,0.0439379325149803,,1161.156486221955,,253.28302627338078,-82.7983589531876,170.8823529411767,1329.0260460823727,4948.506461834643
2009,AFG,27385.307,0.17487,0.1196766666666666,0.0637024374734488,,1744.5108068586997,,266.0911673759144,-83.07960754210666,163.99264705882354,1971.8417353264244,7484.82959503791
2010,AFG,28189.672,0.1684366666666666,0.1166466666666666,0.0809860523063803,,2282.970251091704,,276.84404744573897,-83.70209581803991,157.30882352941182,2533.9695905297594,9825.957613442304
2011,AFG,29249.157,0.16106,0.1167933333333333,0.110464087599107,,3230.9814410480335,,291.0074125110738,-84.41586087225768,157.63235294117658,3492.7056486335337,13947.745395861173
2012,AFG,30466.479,0.1542233333333333,0.11649,0.0898986634575685,,2738.895742358078,,307.2807678564196,-85.0773756152313,156.96323529411785,2823.841069332495,11808.242358078736
