Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1986,AFG,0.0818545412357849,
1987,AFG,0.0823271614797413,
1988,AFG,0.0750925513023057,
1989,AFG,0.0707006740614014,
1990,AFG,0.0516597717734885,
1991,AFG,0.0486229850657341,
1992,AFG,0.0335470012998635,
1993,AFG,0.0289797207739316,
1994,AFG,0.0256727995948992,
1995,AFG,0.023559725186733,
1996,AFG,0.0218592116796304,
1997,AFG,0.0200090113471112,
1998,AFG,0.0188684470117181,
1999,AFG,0.0154669079405919,
2000,AFG,0.0146235722678856,
2001,AFG,0.0148199422207845,
2002,AFG,0.0174279884857894,
2003,AFG,0.0187967877110398,
2004,AFG,0.0143365466620907,
2005,AFG,0.0211253577066927,
2006,AFG,0.0231629458868601,
2007,AFG,0.0295007691681245,
2008,AFG,0.0439379325149803,
2009,AFG,0.0637024374734488,
2010,AFG,0.0809860523063803,
2011,AFG,0.110464087599107,
2012,AFG,0.0898986634575685,
2013,AFG,0.0800445699756477,
2014,AFG,0.0765007221795953,
2015,AFG,0.0791693192845373,
2016,AFG,0.0714506991885669,
2017,AFG,0.0755601772071731,
2018,AFG,0.080479228629907,
2019,AFG,0.0800767813645004,
2020,AFG,0.0832531128397919,
2021,AFG,0.0840936174511822,
2022,AFG,0.081096910043972,
1950,ALB,0.0646536333255616,
1951,ALB,0.0853137678933693,
1952,ALB,0.0768560162175714,
1953,ALB,0.0826663804835134,
1954,ALB,0.0972202224460233,
1955,ALB,0.124473828415646,
1956,ALB,0.152554542559639,
1957,ALB,0.265182361852277,
1958,ALB,0.204818406817296,
1959,ALB,0.238014584499157,
1960,ALB,0.322535323472623,
1961,ALB,0.351522144861277,
1962,ALB,0.367497252110494,
1963,ALB,0.300722032676993,
1964,ALB,0.282123375259299,
1965,ALB,0.294975277677168,
1966,ALB,0.336045482345791,
1967,ALB,0.342685217336822,
1968,ALB,0.381544273659879,
1969,ALB,0.391466249595685,
1970,ALB,0.439019486046261,
1971,ALB,0.496561042734766,
